index,education_many,education_few,shopping_many,shopping_few,leisure_many,leisure_few,accompany
33605407,36,1,125,9,96,6,55
33605408,21,0,27,1,54,3,19
33610001,57,2,126,5,78,4,65
33610003,17,1,21,2,35,2,24
33610005,15,0,24,1,29,1,14
33610006,18,0,41,0,32,3,22
33610008,27,4,87,3,43,1,29
33610009,19,0,51,0,124,4,16
33610012,66,5,137,9,104,8,90
33615401,26,0,47,0,55,1,32
34010000,116,1,248,6,117,7,147
34020000,89,4,295,5,217,10,99
34030000,397,99,878,48,502,33,443
34040000,259,59,616,22,619,28,363
34050000,88,29,219,5,221,19,94
34510001,22,0,43,0,42,4,21
34510002,73,0,128,16,149,6,71
34510004,49,0,58,0,45,6,46
34510005,88,2,131,1,97,1,58
34510007,48,1,103,7,96,7,68
34510008,29,0,36,4,50,4,23
34520001,60,2,164,3,118,4,86
34520002,4,0,30,0,29,2,4
34520006,25,0,32,0,47,1,27
34520007,9,0,10,0,18,1,12
34520011,9,0,13,0,15,1,12
34520012,24,0,42,0,33,1,19
34520013,4,0,48,1,61,2,7
34520014,23,0,70,0,95,5,22
34520019,24,1,143,3,144,4,41
34520020,5,0,85,8,116,7,16
34520023,30,0,62,0,44,2,40
34520025,29,0,76,2,51,2,35
34520027,8,0,38,0,34,0,12
34525401,17,0,27,0,29,2,20
34525403,16,0,38,0,57,3,19
34529501,0,0,0,0,0,0,0
34530001,35,0,46,2,54,5,28
34530002,9,0,16,1,22,2,13
34530003,18,0,13,1,13,0,11
34530004,114,1,245,11,100,7,118
34530005,43,0,40,2,27,0,19
34530006,28,0,30,0,16,1,18
34530007,74,0,95,5,92,3,57
34530008,40,0,51,1,39,1,20
34530009,37,0,23,1,26,1,18
34530010,11,0,12,0,18,1,6
34530011,118,0,72,1,66,3,39
34530012,28,0,28,1,52,2,12
34530013,31,0,33,0,53,3,19
34540010,14,0,23,1,70,1,16
34540014,12,0,32,0,71,0,14
34540018,32,0,83,0,203,5,41
34540019,23,0,37,0,122,3,26
34540032,48,1,119,6,122,13,62
34540035,42,1,158,6,223,8,61
34540041,40,2,153,5,135,6,59
34540044,6,0,7,0,25,0,6
34540045,24,0,30,0,36,1,12
34540054,14,0,31,1,100,0,22
34545401,27,0,37,2,119,3,32
34545402,19,0,13,1,46,5,19
34545403,19,0,40,0,51,1,20
34545404,17,0,35,2,98,3,13
34545405,19,0,22,0,35,1,22
34545406,34,0,34,2,51,4,27
34545407,27,0,44,2,80,4,29
34545408,16,0,34,1,46,1,19
34545409,47,0,51,0,114,5,34
34550007,32,0,67,1,58,5,37
34550014,15,0,34,0,29,1,15
34550015,29,0,64,0,42,4,38
34550020,17,0,81,1,101,7,20
34550021,5,0,27,0,48,2,7
34550025,13,0,30,0,29,2,13
34550026,44,0,113,2,82,4,69
34550027,22,1,50,3,49,6,27
