index,buy/execute_no_car,buy/execute_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
DE80L_0,312722.55769881024,4992730.014085212,340564.1572116943,4198218.924761005,33651.26742115453,1141723.1796308514
DE80L_1,802094.0604766288,12779949.893559175,940855.7615444285,11767881.286012938,85780.39238714433,3284778.7477990272
DE80L_2,125966.71787286105,2851703.582137783,129455.06157249998,2273213.79596061,14994.839110038105,641224.9384767096
DE80L_3,269477.29614488845,4203853.671510103,283943.32403394993,3501683.440053909,28693.665324459434,949539.9904430275
DE80L_4,240893.3286222163,3744612.2809208096,249832.99412228045,3089336.8893116335,25804.194404967424,832372.3570620079
DE80L_5,197268.839213073,3114255.8044640715,204656.36502645345,2518153.6207753075,21911.465626045167,675904.7330854589
DE80L_6,184527.98323761643,2936878.0671026297,189921.78861543152,2374369.687325415,20892.84296055777,635511.8464264813
DE80L_7,75384.09605993248,1681017.1630514343,72531.22332656225,1283635.1300692484,9666.391444386138,356212.61007593555
DE80M_0,640454.9348977376,10741159.217894001,758247.0807179165,9714657.731156878,73753.06457057087,2667227.88777819
DE80M_1,300504.22507553536,5063342.83407855,334483.83501446585,4251022.932289743,34416.148208793566,1149258.2074631841
DE80M_2,279831.1021280688,4847499.458839553,310372.6892480299,4076965.079097254,32986.93968210642,1092959.5994180806
DE80M_3,100961.13277730702,2424376.692445402,104071.14086925109,1899763.6037277633,12809.862980363108,530244.0808734567
DE80M_4,81994.8176912117,1973702.0840549902,82024.50122742949,1533162.1622459025,10696.688446765631,421183.5008431389
DE80M_5,77144.02259741048,1850640.2288585654,77947.99691293665,1416741.9656609385,10112.074164366208,393213.8828095306
DE80N_0,196963.7940014369,3145966.6563803847,205486.29577494148,2552254.4477905766,22193.176119218035,686341.1036010691
DE80N_1,168953.24393750896,3773537.7049165987,174848.958496869,3091081.6812097384,19182.495602024577,875254.4992881796
DE80N_2,220982.42173606137,3431050.785368448,227941.5757475827,2794944.2229903005,23837.373785323016,752537.2658428003
DE80N_3,99854.15453277662,2249655.2947968137,98751.80852716255,1765731.4249369202,12192.056006351891,491312.5976002269
DE80N_4,179711.0578680693,2921170.9607306337,188787.8578031067,2341684.568565772,20678.633606992804,627820.7191109897
DE80N_5,235079.90538795062,3690761.3663535747,246756.29872450157,3027483.027867754,25497.47935400251,818607.9606191793
DE80N_6,202050.4892413792,3227881.671576426,209903.53811751318,2622803.0012361403,22550.44038466866,701565.4135717027
DE80N_7,710760.3454672823,11315842.951806908,819871.0754511899,10321922.105355348,74719.58043218244,2852223.096078115
DE80N_8,266433.39132552274,4184543.736706342,279863.38170200563,3488252.0551091824,28448.145219304002,939865.6697173957
