index,shopping_no_car,shopping_car,errands_no_car,errands_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
91860149,17641.689566462308,983288.230679895,20892.22688817449,747522.0865900132,11837.95695715706,1212987.5101677035,185.58341323629583,541112.5469430933
91860151,14086.201705245034,785117.3380854368,16681.629098498193,596867.2587261779,9452.147360847246,968523.2624570874,148.18112415740254,432057.2841259768
91860152,15553.454210117801,866897.0403096324,18419.227536479964,659038.3818413918,10436.70566704171,1069406.9650054164,163.6160249308207,477061.4055809689
91860158,24668.904811256478,1374961.4895607373,29214.22885591,1045282.6033996894,16553.371049619916,1696156.8965851925,259.5068651688282,756653.9396596203
91860162,60536.39930579135,1898228.9880859822,73179.02528819621,1564612.8270589528,100133.58596649184,2723932.0992054795,19580.986442837657,973914.5751420531
91865156,68460.33674055488,2146698.4694383168,82757.82456549599,1769413.4807717276,113240.61379464167,3080482.336387878,22144.047894514628,1101395.53285887
91865157,22732.183437196938,712808.9886054248,27479.649362749686,587531.9014801861,37601.42774459429,1022870.9480526386,7352.908015744319,365717.23835862294
91865158,54329.659800754634,1703605.3734496888,65676.04935297446,1404194.5604432025,89866.9845345207,2444649.929088718,17573.36650679825,874060.0390714392
91870113,14791.260460188447,615449.4836994592,10065.967405307369,465166.59191386297,14102.045869453203,752549.5526980569,2110.651014438408,276398.3674404157
91870114,23368.89617861738,972356.2860966006,15903.34697067308,734922.4781386785,22279.997483402665,1188962.3885401976,3334.6437620013485,436685.2148969677
91870116,12908.957199655433,537128.7365948482,8784.99454174198,405970.5149461711,12307.450541238713,656781.7524778608,1842.0542104663607,241224.519367128
91870117,51019.908243536855,2982241.244735331,105629.45368445816,2656079.2914713677,116462.4778060932,4308404.610307004,7277.545044766002,1865126.073949648
91870118,18519.662980792662,1082520.6214853283,38342.32460285197,964127.4361669122,42274.59266648363,1563903.2705999976,2641.668442703981,677020.1573346055
91870120,17659.401659411353,1032236.1956171406,36561.27605667218,919342.5206380971,40310.88539028518,1491258.0234659526,2518.959666225233,645571.7310995011
91870122,44266.055384990424,2587461.6528260824,91646.56323494724,2304475.97949359,101045.54614699472,3738071.7383974837,6314.166824460799,1618226.628228084
91870124,18462.763809228105,768217.0484820015,12564.553184347813,580630.7678486943,17602.471595669416,939348.2511920736,2634.559189067755,345006.2818543339
91870125,11791.719135339066,490641.5834746921,8024.675164658008,370834.778939541,11242.271378685598,599938.9291213573,1682.629010689404,220347.1385752411
91870126,12856.333667640532,534939.1243102032,8749.182397169185,404315.5708589023,12257.279058944547,654104.3731168661,1834.545052505852,240241.16447475652
91870128,22567.165781701617,1319107.2835670179,46722.10270056124,1174839.0728941008,51513.77441629938,1905696.9023021031,3219.009425204923,824984.0261115714
91870129,33088.05774536956,1376760.8318991186,22517.574595233287,1040577.9207180941,31546.2843286564,1683453.7612900701,4721.527474553789,618303.299249578
91870130,31768.327364361317,1770659.340086471,37621.74255779816,1346102.722724878,21317.237814631713,2184291.0321438396,334.18990867485553,974410.1021327905
91870131,12253.187031469739,509842.798893887,8338.72012475791,385347.3655509752,11682.236684957537,623417.4865946957,1748.478549727712,228970.4045544987
91870132,12439.393375522468,517590.6577472464,8465.440020938571,391203.32155208016,11859.766545383058,632891.2904874462,1775.049416357205,232449.9680198132
91870134,11820.054883347088,491820.6054741163,8043.958627120283,371725.90267883963,11269.286792228613,601380.5949311237,1686.6724034373701,220876.63736344114
91870137,19636.399727182063,1147796.6774260188,40654.36898888661,1022264.3762012124,44823.75304366052,1658206.7280597202,2800.961202232294,717844.5118882501
91870142,20644.61640584594,859001.742437669,14049.379793942959,649247.2957746857,19682.65843848148,1050356.5185440858,2945.9004306611605,385777.6885457362
91870148,18225.784889637554,1065342.7120272517,37733.89186968496,948828.2414210436,41603.760988279195,1539086.5712684914,2599.7492954596883,666276.906136278
91870150,49515.78674062481,2894321.5808726302,102515.3843319761,2577775.231090241,113029.03930764682,4181388.2310012053,7062.995227506576,1810140.160998208
91870154,17244.32664488308,717519.1025067586,11735.364298470002,542312.4470588551,16440.808813319825,877356.6213721188,2460.6933009052045,322237.83396173257
91870156,10884.975199082302,452912.879493116,7407.60436586522,342318.8192819862,10377.778145309157,553805.6232088328,1553.2404427544823,203403.17735284014
91870157,14031.343043151046,820167.095216524,29049.89740539217,730467.0073209208,32029.163399361234,1184884.5899006329,2001.4487393365996,512941.41176014824
91870162,29045.84188216644,1697802.1057109763,60135.278863561245,1512116.7752462015,66302.56368580641,2452792.319383031,4143.136080363197,1061823.8820747016
91870163,11718.855783318433,487609.81261902966,7975.089118326445,368543.3178956304,11172.803172432135,596231.7884676723,1672.231715051776,218985.57026272675
91870165,30290.816341059894,1770573.9766879186,62712.82116952332,1576929.7275332445,69144.45061347251,2557924.8820055933,4320.720831416293,1107336.2007876164
91870167,22413.57667434686,932606.4015445828,15253.218807659248,704878.8777851833,21369.192112523913,1140357.6555252164,3198.3236636413417,418833.5414662238
91870168,10608.999090699315,620122.5314365606,21964.42166732908,552300.9303258524,24217.0235831804,895882.8458673673,1513.281215518971,387831.36825962464
91870169,23895.13149876639,994252.4089430509,16261.468416401038,751471.9190113666,22781.71230634435,1215736.1821501448,3409.7353416064366,446518.76382068254
91870172,11492.169799254241,478177.6366236357,7820.821418628248,361414.3279812417,10956.679864088024,584698.4619895411,1639.8845730680457,214749.5799571265
91870174,10897.11909108574,453418.1746357264,7415.86870692048,342700.72945597133,10389.356179684735,554423.4799844469,1554.9733253607537,203630.10540492585
91870176,11694.567999311555,486599.2223338089,7958.560436215924,367779.49754766014,11149.64710368098,594996.0749164439,1668.7659498392338,218531.71415855526
91870177,28407.324938656715,1660479.1933429737,58813.320470589286,1478875.7975710873,64845.02940316221,2398872.399926395,4052.057205896052,1038481.7271983352
91870179,29380.122720319578,1222477.3816887452,19994.19579302706,923968.0142613075,28011.12449931345,1494801.4924692109,4192.420652105628,549014.6006794026
91870181,12568.928223559147,522980.4726017572,8553.592992194684,395277.030074588,11983.265578722549,639481.7627606641,1793.5334974907653,234870.53390872764
91870182,33828.03991096317,1977333.541437857,70036.13879418807,1761076.3988380614,77218.82463113326,2856627.699413902,4825.2749309748715,1236645.878847486
91875160,12277.474815476617,510853.3891791078,8355.24880686843,386111.1858989454,11705.392753708693,624653.200145924,1751.9443149402546,229424.26065867016
91875162,22109.97937426089,919974.022979323,15046.610281277734,695331.1234355555,21079.741253134478,1124911.2361348623,3155.00159848456,413160.3401640806
91875165,22336.66535832508,929406.1989747171,15200.877980975933,702460.1133499442,21295.86456147859,1136444.5626129934,3187.3487404682905,417396.33046968083
91875184,24259.448258869557,1009411.2632213627,16509.398648058857,762929.2242309198,23129.05333761167,1234271.88541857,3461.7218197945754,453326.6053832543
91879451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91879452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91880113,43297.1803305519,1357661.8984336772,52339.50962811778,1119051.091533706,71618.100489192,1948225.8717061747,14004.822070488211,696568.6012059232
91880117,15135.337400285878,629766.1794067537,10300.123735206416,475987.38017677446,14430.090176761227,770055.4946737917,2159.749354949427,282827.9955828446
91880118,22158.060032981044,694806.3042515677,26785.624088741675,572693.2118182292,36651.767112136964,997037.3473168381,7167.203171660673,356480.6937720912
91880120,106999.01678391197,3355148.9299841695,129345.05264327709,2765477.234566692,176987.65318598913,4814591.877671202,34609.694680705965,1721408.9897439892
91880121,98588.88475458723,3091433.9321519914,119178.52025105161,2548110.4833023497,163076.40824566822,4436164.53716299,31889.36966737257,1586106.093368308
91880124,55715.83162354617,1747071.3140517944,67351.71397850731,1440021.3066540535,92159.85885432758,2507022.947081461,18021.734959180387,896360.8854605431
91880126,14005.32951993709,780609.7954431584,16585.855956247233,593440.5039088039,9397.880367592434,962962.7434189906,147.33038159508814,429576.7419985363
91880127,40923.10246987535,1283218.3658352948,49469.62133289546,1057691.1045531814,67691.12544146304,1841400.4416365135,13236.907444953138,658374.2411589136
91880132,38626.60885301177,1211207.6284198663,46693.52023686341,998336.3459053538,63892.48291163372,1738066.0386933114,12494.08806861856,621428.0628127864
91880137,28897.544678866736,906135.1124774764,34932.605458403305,746880.712985165,47799.58516701895,1300291.237035288,9347.143818876793,464906.07752209937
91880139,121605.54375243168,3813163.1697615795,147002.05601083228,3142994.888669091,201148.38855589452,5471835.918012647,39334.29359685203,1956399.9979635004
91880141,51190.084067790245,1605158.2617128303,61880.794025741445,1323049.653913402,84673.79531018197,2303379.6980379894,16557.84542248499,823550.286242387
91880144,15914.49075167114,887019.99853409,18846.786207243193,674336.3944189543,10678.96902978641,1094230.7107112058,167.41398279829565,488135.2543641854
91880145,14331.706553501304,798800.949678068,16972.36899461719,607269.9072789204,9616.886447513643,985403.4095370243,150.7637355072855,439587.501298564
91889451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91890111,11081.875655557986,647763.3493827382,22943.44524706145,576918.7255078406,25296.452738109365,935815.1711553361,1580.7329342666062,405118.2360969336
91890114,20345.06706976112,846537.7955866125,13845.5260479132,639826.8448163862,19397.066923883907,1035116.0514122698,2903.155993039802,380180.12992762163
91890115,10484.226762968821,436238.139786973,7134.881111041622,329715.7835404776,9995.703010915106,533416.3496135651,1496.0553167475302,195914.55163401112
91890118,17713.89046901605,737057.1813543607,12054.91881927341,557079.640452946,16888.49280917548,901247.0833625332,2527.69809501436,331012.38530904736
91890119,17932.480525077946,746152.4939213477,12203.6769582681,563954.0235846778,17096.897427935874,912368.5053235883,2558.889981927243,335097.09024659044
91890120,18602.48317011819,1087361.6686962408,38513.79200947176,968439.0274134751,42463.64523034125,1570897.067684331,2653.482020563736,680047.8008541341
91890124,19575.95390954333,814535.7698879542,13322.11778108003,615639.200463996,18663.791413430674,995985.1222900391,2793.4067613092884,365808.0199621922
91890127,13564.72736784113,564414.6742958095,9231.268958726052,426593.66434136697,12932.664397519891,690146.0183610258,1935.6298712050093,253478.63417975727
91890130,9868.93623479459,410636.51922804647,6716.154497575086,310365.6680585654,9409.08260255252,502111.60631578066,1408.2559313631193,184416.86366166762
91890134,14281.216996044017,594227.0877098227,9718.865080986425,449126.36460648844,13615.768425678954,726599.5681222618,2037.8699449750145,266867.38925281516
91890135,9460.091870678818,393624.9160934965,6437.9216820479805,297508.0255344001,9019.28877857475,481310.428203437,1349.9155502853198,176776.95257478146
91890139,9484.379654685694,394635.5063787173,6454.4503641585015,298271.8458823703,9042.444847325904,482546.1417546653,1353.3813154978625,177230.80867895292
91890140,28242.644835997482,1175148.0699975716,19220.10251418432,888195.7612980357,26926.64861280104,1436928.907820017,4030.107314651552,527759.0064673729
91890141,7513.021186127465,312609.26156163006,5112.872332854537,236275.09430545423,7162.943933690516,382247.391846632,1072.076705746493,140392.82155703654
91890142,15005.802552249199,624376.3645522429,10211.970763950303,471913.6716542666,14306.591143421734,763465.0224005738,2141.2652738158667,280407.4296939302
91890143,18045.823517110042,750868.5819190447,12280.8108081172,567518.5185418723,17204.95908210793,918135.1685626539,2575.063552919108,337215.08539939055
91890145,33330.93558543833,1386866.7347513267,22682.861416338495,1048216.1241977963,31777.845016167943,1695810.8968023534,4756.185126679215,622841.8602912925
91890148,13815.701135912197,574857.4405764244,9402.06534053477,434486.47460372595,13171.943774615154,702915.0583903854,1971.442778401282,258168.48058952895
91890149,23360.800250615084,972019.4226681936,15897.837409969572,734667.8713560217,22272.278793818947,1188550.4840231214,3333.488506930501,436533.92952891055
91890152,23579.39030667698,981114.7352351807,16046.595548964264,741542.2544877537,22480.68341257934,1199671.9059841766,3364.680393843384,440618.6344664536
91890154,55973.089889005634,3271767.100510547,115884.31084165488,2913940.264733551,127769.04081873898,4726678.79722166,7984.07321741072,2046198.6896014598
91890155,54848.33828558472,3206022.5561300903,113555.67283562476,2855386.0739334547,125201.58503215652,4631698.520689259,7823.6372084121085,2005081.3372878605
91890157,30117.16110537733,1760423.3938263278,62353.29273628826,1567889.2942743222,68748.0500763517,2543260.468764249,4295.950426226483,1100987.9159886045
91890159,20442.21820578863,850580.1567274957,13911.640776355283,642882.1262082672,19489.691198888526,1040058.9056171831,2917.0190538899724,381995.5543443074
91890160,14544.334656118524,605175.1491330479,9897.925803850403,457401.0850428324,13866.625837149797,739986.4649272354,2075.4157347775586,271784.1637146726
91895166,17921.220322440444,1047540.1513161543,37103.334309857324,932972.7123207799,40908.53543086732,1513367.446506749,2556.3058155883305,655142.9912580112
91895169,17887.952921065338,744299.7450651096,12173.374374398813,562553.6862800658,17054.444635225424,910103.0304796698,2552.5360790375817,334265.0207222761
91895170,30857.62958073797,1283954.9573730098,20999.690621417096,970433.7520961625,29419.785348342026,1569974.066835601,4403.254702535299,576624.1803498327
91895173,43438.70169630055,1807440.7251173775,29561.54795466704,1366092.6923447356,41414.628961440154,2210073.6863718797,6198.5210826323355,811721.6423106461
91899451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91899452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91900115,6732.609426886647,375252.9249696849,7973.11409239272,285277.33854638523,4517.727188463181,462913.2099215646,70.8243183126728,206505.13210942218
91900130,15576.565476410822,648125.2362549314,10600.39479354755,489863.4498315667,14850.75875907387,792504.2908544397,2222.7107563106165,291073.0481419594
91900138,10071.334434851902,419058.10493821965,6853.893515162762,316730.8376249839,9602.049842145476,512409.21924268344,1437.1373081343072,188198.99786309642
91900139,33900.173624246694,1981549.9373957487,70185.48137414723,1764831.6557302293,77383.48331578345,2862719.0710679987,4835.564176207561,1239282.8586870758
91900140,30766.364524929064,1798370.9574473512,63697.375955920834,1601686.6063038316,70229.97823820334,2598082.8136511208,4388.553633320693,1124720.73454491
91900141,44108.42986337086,2578248.0468440233,91320.22204170312,2296270.047766261,100685.73642868506,3724760.9633014943,6291.682918211588,1612464.338948981
91900142,14418.84777208299,599953.7659927405,9812.527612946044,453454.679911653,13746.986148602164,733601.9449125556,2057.509281179422,269439.2405097867
91900144,9269.837562624942,385708.6255259337,6308.447005515564,291524.7661419667,8837.89957335737,471630.6720521484,1322.7670561204034,173221.7464254384
91900148,32994.494779686866,1928610.743702222,68310.4023146598,1717682.3191952344,75316.10205295339,2786238.5158554483,4706.376986063787,1206174.11181223
91900157,60717.88525165534,3549112.2568518543,125707.7338789695,3160952.7180850278,138599.9231868398,5127355.688246703,8660.876903827666,2219653.363494457
91900158,9079.58325457107,377792.33495837083,6178.972328983148,285541.5067495333,8656.510368139992,461950.91590085975,1295.6185619554867,169666.54027609536
91900159,13123.499291716184,546055.6174476319,8930.997900384917,412717.5946865747,12511.995815207247,667697.2221803777,1872.66846984382,245233.58162064248
91905174,34148.624313669876,1420889.9410204263,23239.327047392708,1073931.4092461271,32557.432664123484,1737413.2530270407,4872.865888834813,638121.6824650648
91905175,16924.537488792525,704212.997084685,11517.736650681474,532255.4791439138,16135.920574762955,861086.3929476123,2415.060725606728,316262.0619234751
91905176,21288.242682028198,885782.3849960198,14487.38986987177,669488.5349958964,20296.29426038708,1083102.9276516368,3037.7432087935376,397804.87530627975
91905177,30772.622336713892,1280417.891374737,20941.84023403027,967760.3808782666,29338.739107712983,1565649.0694063022,4391.1245242914,575035.6839852326
91905178,14981.51476824232,623365.774267022,10195.442081839783,471149.85130629636,14283.43507467058,762229.3088493455,2137.7995086033243,279953.5735897587
91905179,24324.215682887894,1012106.1706486181,16553.475133686912,764966.0784921737,23190.802854281414,1237567.121555179,3470.9638603613553,454536.8883277115
91905180,20847.014605903256,867423.3281478421,14187.118811530638,655612.4653411041,19875.625678074437,1060654.1314709887,2974.7818074323477,389559.822747165
92610000,875410.1840585491,10643773.186989574,913157.757892363,10850281.89148021,950715.7515400435,17353265.78740771,131268.24278122128,6083839.698633239
92620000,627997.3283710239,7635576.1526867645,655076.4918897996,7783720.322205367,682019.6553338997,12448798.005159447,94168.54780507376,4364394.139517706
92630000,570451.3745760027,6935897.200834155,595049.1640152083,7070466.316528512,619523.415620674,11308063.92486219,85539.50010674752,3964466.9230318996
92710111,9257.693670621504,385203.3303833233,6300.182664460304,291142.85596798157,8826.321538981792,471012.81527653424,1321.034173514132,172994.8183733527
92710113,8553.347934422054,355896.21211192047,5820.850883255191,268992.06587684527,8154.795545198308,435177.12229091243,1220.5269823503982,159832.99135238052
92710116,19442.371097505504,808977.5233192398,13231.210029472166,611438.1885501599,18536.433035299324,989188.6977582831,2774.3450526403044,363311.81138924917
92710119,90167.14160440743,5270494.947364372,186678.22494896912,4694071.115209649,205823.3558127269,7614214.567621165,12861.556540862573,3296224.799486863
92710122,11220.956211177441,466892.71177200356,7636.251135060762,352885.0007622409,10698.103763033463,570899.6606674914,1601.1835281946542,209681.5201272119
92710125,20961.52275639054,1225253.4328006182,43397.84749480331,1091249.8361462194,47848.59406538237,1770107.4814090566,2989.978447988378,766286.8082007089
92710127,8715.266494467904,362633.48068005906,5931.042097325331,274084.20152998006,8309.169336872672,443415.2126324347,1243.6320837673486,162858.69871352354
92710128,12860.381631641678,535107.5560244067,8751.937177520938,404442.8742502306,12261.138403736404,654310.3253754041,1835.1226800412755,240316.80715878506
92710132,11231.48632014604,656508.4669250317,23253.19282031011,584707.4064693737,25637.967047013448,948449.1271786483,1602.0735910455187,410587.5276160821
92710138,4734.1088866077025,276720.5050882864,9801.298210654022,246456.11899708142,10806.488488893394,399774.465594806,675.2793537898809,173064.0102130584
92710140,9027.400636482747,527674.1459894582,18689.94732155753,469963.44587536005,20606.72946048012,762323.882192353,1287.6799867133227,330013.1436286255
92710141,47830.742637544245,1990189.1350281362,32550.484636319612,1504216.8719360167,45602.01806060729,2433531.8868856705,6825.2469585671115,893793.9544816507
92710146,34592.12294796644,2021996.106028856,71618.06390042229,1800854.3051773196,78962.98699446482,2921151.1176758176,4934.264713810033,1264578.3319631377
92710151,12621.551755574048,525170.0848864022,8589.40513676748,396931.97416185687,12033.437061016717,642159.1421216588,1801.042655451274,235853.88880109912
92710153,15430.838772369556,642061.6945436066,10501.222700884424,485280.52774374536,14711.822346566942,785090.0095470697,2201.9161650353612,288349.9115169307
92715202,22405.48074634457,932269.5381161759,15247.709246955743,704624.2710025265,21361.473422940195,1139945.7510081404,3197.1684085704946,418682.25609816663
92715204,17912.240705072218,745310.3353503303,12189.903056509333,563317.506628036,17077.60070397658,911338.7440308981,2556.001844250124,334718.87682644755
92715205,13155.883003725356,547403.0711612595,8953.036143198946,413736.02181720163,12542.87057354212,669344.8402486822,1877.28949012721,245838.7230928711
92715206,25579.084523243237,1064320.002051692,17407.457042730504,804430.1298039685,24387.199739757743,1301412.3217019762,3650.0283963427196,477986.12037657
92720118,19062.001639924354,1114221.672576142,39465.15955587836,992361.4046524694,43512.58203626093,1609701.3611845039,2719.0283235275397,696846.339091519
92720120,21819.11245876135,1275381.6958555502,45173.36483431795,1135895.6680864354,49806.20287177898,1842527.1221855425,3112.3061413103596,797637.5685158283
92720121,10075.38239885305,419226.53665242315,6856.648295514516,316858.1410163123,9605.909186937333,512615.17150122154,1437.714935669731,188274.640547125
92720122,5339.264517511921,222161.43103436969,3633.555283962895,167913.17316211967,5090.475780462171,271651.02901169594,761.8907192239353,99772.70023369139
